,Date,Close
3971,2015-08-14,115.96
3970,2015-08-13,115.15
3969,2015-08-12,115.24
3968,2015-08-11,113.49
3967,2015-08-10,119.72
3966,2015-08-07,115.52
3965,2015-08-06,115.13
3964,2015-08-05,115.4
3963,2015-08-04,114.64
3962,2015-08-03,118.44
3961,2015-07-31,121.3
3960,2015-07-30,122.37
3959,2015-07-29,122.99
3958,2015-07-28,123.38
3957,2015-07-27,122.77
3956,2015-07-24,124.5
3955,2015-07-23,125.16
3954,2015-07-22,125.22
3953,2015-07-21,130.75
3952,2015-07-20,132.07
3951,2015-07-17,129.62
3950,2015-07-16,128.51
3949,2015-07-15,126.82
3948,2015-07-14,125.61
3947,2015-07-13,125.66
3946,2015-07-10,123.28
3945,2015-07-09,120.07
3944,2015-07-08,122.57
3943,2015-07-07,125.69
3942,2015-07-06,126.0
3941,2015-07-02,126.44
3940,2015-07-01,126.6
3939,2015-06-30,125.425
3938,2015-06-29,124.53
3937,2015-06-26,126.75
3936,2015-06-25,127.5
3935,2015-06-24,128.11
3934,2015-06-23,127.03
3933,2015-06-22,127.61
3932,2015-06-19,126.6
3931,2015-06-18,127.88
3930,2015-06-17,127.3
3929,2015-06-16,127.6
3928,2015-06-15,126.92
3927,2015-06-12,127.17
3926,2015-06-11,128.59
3925,2015-06-10,128.88
3924,2015-06-09,127.42
3923,2015-06-08,127.8
3922,2015-06-05,128.65
3921,2015-06-04,129.36
3920,2015-06-03,130.12
3919,2015-06-02,129.96
3918,2015-06-01,130.535
3917,2015-05-29,130.28
3916,2015-05-28,131.78
3915,2015-05-27,132.045
3914,2015-05-26,129.62
3913,2015-05-22,132.54
3912,2015-05-21,131.39
3911,2015-05-20,130.06
3910,2015-05-19,130.07
3909,2015-05-18,130.19
3908,2015-05-15,128.77
3907,2015-05-14,128.95
3906,2015-05-13,126.01
3905,2015-05-12,125.865
3904,2015-05-11,126.32
3903,2015-05-08,127.62
3902,2015-05-07,125.26
3901,2015-05-06,125.01
3900,2015-05-05,125.8
3899,2015-05-04,128.7
3898,2015-05-01,128.95
3897,2015-04-30,125.15
3896,2015-04-29,128.64
3895,2015-04-28,130.56
3894,2015-04-27,132.65
3893,2015-04-24,130.28
3892,2015-04-23,129.67
3891,2015-04-22,128.62
3890,2015-04-21,126.91
3889,2015-04-20,127.6
3888,2015-04-17,124.75
3887,2015-04-16,126.17
3886,2015-04-15,126.78
3885,2015-04-14,126.3
3884,2015-04-13,126.85
3883,2015-04-10,127.1
3882,2015-04-09,126.56
