,Date,Close
4491,2017-09-07,166.58
4490,2017-09-06,165.81
4489,2017-09-05,165.91
4488,2017-09-01,170.46
4487,2017-08-31,169.44
4486,2017-08-30,165.68
4485,2017-08-29,164.7
4484,2017-08-28,164.97
4483,2017-08-25,163.81
4482,2017-08-24,165.19
4481,2017-08-23,165.8
4480,2017-08-22,162.55
4479,2017-08-21,159.15
4478,2017-08-18,161.5
4477,2017-08-17,161.47
4476,2017-08-16,165.15
4475,2017-08-15,166.98
4474,2017-08-14,168.4
4473,2017-08-11,155.96
4472,2017-08-10,164.74
4471,2017-08-09,172.11
4470,2017-08-08,170.3
4469,2017-08-07,172.35
4468,2017-08-04,167.21
4467,2017-08-03,166.48
4466,2017-08-02,164.39
4465,2017-08-01,164.49
4464,2017-07-31,162.51
4463,2017-07-28,164.39
4462,2017-07-27,161.74
4461,2017-07-26,167.26
4460,2017-07-25,165.35
4459,2017-07-24,166.15
4458,2017-07-21,168.1
4457,2017-07-20,167.5
4456,2017-07-19,165.1
4455,2017-07-18,165.96
4454,2017-07-17,164.25
4453,2017-07-14,164.95
4452,2017-07-13,160.63
4451,2017-07-12,162.51
4450,2017-07-11,155.88
4449,2017-07-10,153.7
4448,2017-07-07,146.76
4447,2017-07-06,143.48
4446,2017-07-05,143.05
4445,2017-07-03,139.33
4444,2017-06-30,144.56
4443,2017-06-29,146.68
4442,2017-06-28,151.75
4441,2017-06-27,146.58
4440,2017-06-26,152.15
4439,2017-06-23,153.83
4438,2017-06-22,158.37
4437,2017-06-21,159.47
4436,2017-06-20,157.09
4435,2017-06-19,157.32
4434,2017-06-16,151.62
4433,2017-06-15,152.37
4432,2017-06-14,151.72
4431,2017-06-13,151.4
4430,2017-06-12,149.97
4429,2017-06-09,149.6
4428,2017-06-08,159.94
4427,2017-06-07,149.12
4426,2017-06-06,147.34
4425,2017-06-05,148.01
4424,2017-06-02,143.64
4423,2017-06-01,144.36
4422,2017-05-31,144.35
4421,2017-05-30,144.87
4420,2017-05-26,141.84
4419,2017-05-25,138.26
4418,2017-05-24,138.57
4417,2017-05-23,137.03
4416,2017-05-22,138.9
4415,2017-05-19,136.0
4414,2017-05-18,133.07
4413,2017-05-17,127.72
4412,2017-05-16,136.81
4411,2017-05-15,134.31
4410,2017-05-12,127.89
4409,2017-05-11,126.5
4408,2017-05-10,121.29
4407,2017-05-09,102.94
4406,2017-05-08,102.77
4405,2017-05-05,103.86
4404,2017-05-04,103.85
4403,2017-05-03,104.25
4402,2017-05-02,103.48
4401,2017-05-01,106.64
4400,2017-04-28,104.3
4399,2017-04-27,105.64
4398,2017-04-26,104.02
4397,2017-04-25,104.74
4396,2017-04-24,102.95
4395,2017-04-21,101.68
4394,2017-04-20,101.26
4393,2017-04-19,99.68
4392,2017-04-18,99.29
4391,2017-04-17,99.23
4390,2017-04-13,95.49
4389,2017-04-12,97.31
4388,2017-04-11,98.12
4387,2017-04-10,97.77
4386,2017-04-07,100.33
4385,2017-04-06,100.76
4384,2017-04-05,100.03
4383,2017-04-04,100.78
4382,2017-04-03,108.38
4381,2017-03-31,108.93
4380,2017-03-30,109.4
4379,2017-03-29,107.34
4378,2017-03-28,107.69
4377,2017-03-27,108.25
4376,2017-03-24,107.47
4375,2017-03-23,107.09
4374,2017-03-22,108.07
4373,2017-03-21,105.91
4372,2017-03-20,109.45
4371,2017-03-17,106.07
4370,2017-03-16,103.81
4369,2017-03-15,102.55
4368,2017-03-14,101.78
4367,2017-03-13,101.85
4366,2017-03-10,99.12
4365,2017-03-09,98.54
4364,2017-03-08,98.56
